item,actor,gold_id,gold_name,gold_checkable,name_leak,claimed_id,attribution_correct,model_says_provable,n_cited,arm4_grounding_pass,arm5_capacity_pass,arm5_outcome,capacity_violation,missed_by_grounding,missing,condition,model
P013,Triton Safety Instrumented System Attack,T0886,Remote Services,True,True,T0849,False,True,2,True,False,fail,True,True,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P014,2015 Ukraine Electric Power Attack,T0822,External Remote Services,True,False,T0849,False,False,0,True,False,fail,False,False,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P015,2015 Ukraine Electric Power Attack,T0884,Connection Proxy,True,False,T0999,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P016,2015 Ukraine Electric Power Attack,T0859,Valid Accounts,True,True,T0849,False,False,0,True,False,fail,False,False,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P017,2015 Ukraine Electric Power Attack,T0886,Remote Services,True,False,T889,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P018,2015 Ukraine Electric Power Attack,T0828,Loss of Productivity and Revenue,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P019,2015 Ukraine Electric Power Attack,T0831,Manipulation of Control,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P020,2015 Ukraine Electric Power Attack,T1693.001,System Firmware,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P021,2015 Ukraine Electric Power Attack,T0885,Commonly Used Port,True,False,T1071.001,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P022,2015 Ukraine Electric Power Attack,T1695.001,Serial COM,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P023,2015 Ukraine Electric Power Attack,T0814,Denial of Service,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P024,2015 Ukraine Electric Power Attack,T0867,Lateral Tool Transfer,True,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P025,2015 Ukraine Electric Power Attack,T0816,Device Restart/Shutdown,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P026,2015 Ukraine Electric Power Attack,T0823,Graphical User Interface,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P027,2015 Ukraine Electric Power Attack,T0813,Denial of Control,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P028,2015 Ukraine Electric Power Attack,T0846,Remote System Discovery,True,True,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P029,2015 Ukraine Electric Power Attack,T1691.001,Command Message,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P030,2015 Ukraine Electric Power Attack,T0827,Loss of Control,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P031,2015 Ukraine Electric Power Attack,T1691.002,Reporting Message,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P032,2015 Ukraine Electric Power Attack,T0826,Loss of Availability,False,False,T0860,False,False,0,True,False,fail,False,False,Application Log Content; Logon Session Creation,instrumented,qwen3.8-27b
P033,Maroochy Water Breach,T1692.002,Reporting Message,True,False,T0818,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P034,Maroochy Water Breach,T0822,External Remote Services,True,False,T0819,False,True,2,True,False,fail,True,True,Application Log Content; Network Traffic Content,instrumented,qwen3.8-27b
P035,Maroochy Water Breach,T0838,Modify Alarm Settings,True,False,T0889,False,False,0,True,False,fail,False,False,Application Log Content; Device Alarm; Network Traffic Content; Software,instrumented,qwen3.8-27b
P036,Maroochy Water Breach,T0864,Transient Cyber Asset,True,False,T0849,False,False,0,True,False,fail,False,False,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P037,Maroochy Water Breach,T0879,Damage to Property,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P038,Maroochy Water Breach,T0836,Modify Parameter,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P039,Maroochy Water Breach,T0813,Denial of Control,False,False,T0849,False,False,0,True,False,fail,False,False,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P040,Maroochy Water Breach,T0860,Wireless Compromise,True,False,T0818,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P041,Maroochy Water Breach,T0848,Rogue Master,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P042,Maroochy Water Breach,T0878,Alarm Suppression,True,False,T0889,False,False,0,True,False,fail,False,False,Application Log Content; Device Alarm; Network Traffic Content; Software,instrumented,qwen3.8-27b
P043,Maroochy Water Breach,T0815,Denial of View,False,False,T0849,False,False,0,True,False,fail,False,False,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P044,Unitronics Defacement Campaign,T0826,Loss of Availability,False,False,T0810,False,False,2,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P045,Unitronics Defacement Campaign,T0814,Denial of Service,True,False,T0818,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P046,Unitronics Defacement Campaign,T0829,Loss of View,False,False,T889,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P047,Unitronics Defacement Campaign,T0883,Internet Accessible Device,True,False,T0810,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P048,Unitronics Defacement Campaign,T1694.001,Default Credentials,True,True,T0881,False,False,0,True,False,fail,False,False,Command Execution; File Modification; OS API Execution; Process Creation; Process Termination; Service Metadata; Windows Registry Key Modification,instrumented,qwen3.8-27b
P049,Unitronics Defacement Campaign,T0828,Loss of Productivity and Revenue,False,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P050,2025 Poland Wiper Attacks,T0892,Change Credential,True,False,T0959,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P051,2025 Poland Wiper Attacks,T0829,Loss of View,False,True,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P052,2025 Poland Wiper Attacks,T0816,Device Restart/Shutdown,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P053,2025 Poland Wiper Attacks,T0846.001,Port Scan,True,True,T0883,False,True,2,True,False,fail,True,True,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P054,2025 Poland Wiper Attacks,T0840,Network Connection Enumeration,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P055,2025 Poland Wiper Attacks,T0885,Commonly Used Port,True,False,T0999,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P056,2025 Poland Wiper Attacks,T0852,Screen Capture,True,True,T1113,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P057,2025 Poland Wiper Attacks,T0809,Data Destruction,True,False,T0809,True,False,0,True,False,fail,False,False,Command Execution; File Deletion; File Modification; Process Creation,instrumented,qwen3.8-27b
P058,2025 Poland Wiper Attacks,T1693.001,System Firmware,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P059,2025 Poland Wiper Attacks,T0807,Command-Line Interface,True,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P060,2025 Poland Wiper Attacks,T0859,Valid Accounts,True,True,T0815,False,False,0,True,False,undefined,False,False,,instrumented,qwen3.8-27b
P061,2025 Poland Wiper Attacks,T1694.001,Default Credentials,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P062,2025 Poland Wiper Attacks,T0827,Loss of Control,False,True,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P063,2025 Poland Wiper Attacks,T0823,Graphical User Interface,True,True,T0013,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P064,2025 Poland Wiper Attacks,T0846.002,Broadcast Discovery,True,False,T0883,False,True,1,True,False,fail,True,True,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P065,2025 Poland Wiper Attacks,T0846,Remote System Discovery,True,True,T0043,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P066,2025 Poland Wiper Attacks,T0822,External Remote Services,True,False,T1190,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P067,2025 Poland Wiper Attacks,T0886,Remote Services,True,True,T0011,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P068,2025 Poland Wiper Attacks,T0888,Remote System Information Discovery,True,False,T1016,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P069,2016 Ukraine Electric Power Attack,T0867,Lateral Tool Transfer,True,True,T1570,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P070,2016 Ukraine Electric Power Attack,T0886,Remote Services,True,False,T0849,False,False,0,True,False,fail,False,False,Command Execution; File Metadata; File Modification; Process Metadata; Scheduled Job Creation; Scheduled Job Modification; Service Creation; Service Modification,instrumented,qwen3.8-27b
P071,2016 Ukraine Electric Power Attack,T0853,Scripting,True,False,T1059.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P072,2016 Ukraine Electric Power Attack,T0859,Valid Accounts,True,True,T1021,False,False,2,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P073,2016 Ukraine Electric Power Attack,T0807,Command-Line Interface,True,False,T0815,False,False,0,True,False,undefined,False,False,,instrumented,qwen3.8-27b
P074,2016 Ukraine Electric Power Attack,T0849,Masquerading,True,False,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P075,2022 Ukraine Electric Power Attack,T0853,Scripting,True,False,T849,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P076,2022 Ukraine Electric Power Attack,T0894,System Binary Proxy Execution,True,False,T849,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P077,2022 Ukraine Electric Power Attack,T0895,Autorun Image,True,True,T1091,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P078,2022 Ukraine Electric Power Attack,T0807,Command-Line Interface,True,False,T849,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P079,ALLANITE,T0859,Valid Accounts,True,False,T1078,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P080,ALLANITE,T0852,Screen Capture,True,False,T0959,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P081,ALLANITE,T0865,Spearphishing Attachment,True,False,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P082,ALLANITE,T0817,Drive-by Compromise,True,False,T1189,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P083,Dragonfly,T0817,Drive-by Compromise,True,False,T1189,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P084,Dragonfly,T0862,Supply Chain Compromise,True,False,T1195.002,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P085,Sandworm Team,T0807,Command-Line Interface,True,False,T1059.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P086,Sandworm Team,T0819,Exploit Public-Facing Application,True,False,T1190,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P087,Sandworm Team,T0884,Connection Proxy,True,False,T1090,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P088,OilRig,T0865,Spearphishing Attachment,True,True,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P089,OilRig,T0853,Scripting,True,False,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P090,OilRig,T0869,Standard Application Layer Protocol,True,False,T1071.001,False,True,1,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P091,OilRig,T0859,Valid Accounts,True,False,T1078,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P092,OilRig,T0817,Drive-by Compromise,True,False,T1566.002,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P093,TEMP.Veles,T0862,Supply Chain Compromise,True,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P094,TEMP.Veles,T0817,Drive-by Compromise,True,False,T1189,False,False,2,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P095,Lazarus Group,T0865,Spearphishing Attachment,True,False,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P096,APT33,T0852,Screen Capture,True,True,T1113,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P097,APT33,T0865,Spearphishing Attachment,True,False,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P098,APT33,T0853,Scripting,True,False,T1071.001,False,False,2,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P099,EKANS,T0881,Service Stop,True,False,T1562.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P100,EKANS,T0840,Network Connection Enumeration,True,False,T1046,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P101,EKANS,T0828,Loss of Productivity and Revenue,False,False,T0810,False,False,2,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P102,EKANS,T0849,Masquerading,True,False,T1036.005,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P103,Backdoor.Oldrea,T0888,Remote System Information Discovery,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P104,Backdoor.Oldrea,T0846,Remote System Discovery,True,False,T0845,False,True,2,True,False,fail,True,True,Application Log Content; Network Traffic Content,instrumented,qwen3.8-27b
P105,Backdoor.Oldrea,T0863,User Execution,True,True,T1204.002,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P106,Backdoor.Oldrea,T0862,Supply Chain Compromise,True,False,T1195,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P107,Backdoor.Oldrea,T0802,Automated Collection,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P108,Backdoor.Oldrea,T0861,Point & Tag Identification,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P109,Backdoor.Oldrea,T0814,Denial of Service,True,True,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P110,Backdoor.Oldrea,T0865,Spearphishing Attachment,True,False,T1105,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P111,Stuxnet,T0849,Masquerading,True,False,T8493,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P112,Stuxnet,T0888,Remote System Information Discovery,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P113,Stuxnet,T1694.002,Hardcoded Credentials,True,False,T1021,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P114,Stuxnet,T0877,I/O Image,True,True,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P115,Stuxnet,T0801,Monitor Process State,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P116,Stuxnet,T0867,Lateral Tool Transfer,True,False,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P117,Stuxnet,T0834,Native API,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P118,Stuxnet,T0836,Modify Parameter,True,False,T849,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P119,Stuxnet,T0874,Hooking,True,False,T1562.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P120,Stuxnet,T0807,Command-Line Interface,True,False,T1059.004,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P121,Stuxnet,T0843,Program Download,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P122,Stuxnet,T0847,Replication Through Removable Media,True,False,T1091,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P123,Stuxnet,T0863,User Execution,True,False,T1195.002,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P124,Stuxnet,T0873.001,Siemens Project File Format,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P125,Stuxnet,T0869,Standard Application Layer Protocol,True,False,T8493,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P126,Stuxnet,T0885,Commonly Used Port,True,False,T1071.001,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P127,Stuxnet,T0866,Exploitation of Remote Services,True,False,T0815,False,False,0,True,False,undefined,False,False,,instrumented,qwen3.8-27b
P128,Stuxnet,T0831,Manipulation of Control,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P129,Stuxnet,T0889,Modify Program,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P130,Stuxnet,T0821,Modify Controller Tasking,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P131,Stuxnet,T0832,Manipulation of View,False,True,T883,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P132,Stuxnet,T0886,Remote Services,True,True,T0815,False,False,0,True,False,undefined,False,False,,instrumented,qwen3.8-27b
P133,Stuxnet,T0835,Manipulate I/O Image,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P134,Stuxnet,T0851,Rootkit,True,True,,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P135,Stuxnet,T0842,Network Sniffing,True,False,T8493,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P136,Bad Rabbit,T0866,Exploitation of Remote Services,True,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P137,Bad Rabbit,T0817,Drive-by Compromise,True,True,T1105,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P138,Bad Rabbit,T0828,Loss of Productivity and Revenue,False,False,T1486,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P139,Bad Rabbit,T0863,User Execution,True,False,T1486,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P140,Bad Rabbit,T0867,Lateral Tool Transfer,True,False,T1021.002,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P141,PLC-Blaster,T0821,Modify Controller Tasking,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P142,PLC-Blaster,T0834,Native API,True,False,T0810,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P143,PLC-Blaster,T0843,Program Download,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P144,PLC-Blaster,T0814,Denial of Service,True,False,T889,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P145,PLC-Blaster,T0835,Manipulate I/O Image,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P146,PLC-Blaster,T0889,Modify Program,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P147,PLC-Blaster,T0858,Change Operating Mode,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P148,PLC-Blaster,T0846.001,Port Scan,True,True,T0810,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P149,BlackEnergy,T0869,Standard Application Layer Protocol,True,False,T1071.001,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P150,BlackEnergy,T0865,Spearphishing Attachment,True,True,T1566.001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P151,BlackEnergy,T0859,Valid Accounts,True,True,T1078,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P152,NotPetya,T0867,Lateral Tool Transfer,True,False,T1021.002,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P153,NotPetya,T0866,Exploitation of Remote Services,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P154,NotPetya,T0828,Loss of Productivity and Revenue,False,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P155,Conficker,T0828,Loss of Productivity and Revenue,False,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P156,Conficker,T0847,Replication Through Removable Media,True,False,T1021.002,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P157,Conficker,T0826,Loss of Availability,False,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P158,LockerGoga,T0828,Loss of Productivity and Revenue,False,False,T883,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P159,LockerGoga,T1695.002,Ethernet,True,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P160,LockerGoga,T0829,Loss of View,False,True,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P161,LockerGoga,T1695.003,Wi-Fi,True,False,T1489,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P162,LockerGoga,T0827,Loss of Control,False,True,T0818,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P163,VPNFilter,T0830,Adversary-in-the-Middle,True,False,T1557,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P164,VPNFilter,T0842,Network Sniffing,True,False,T0881,False,False,0,True,False,fail,False,False,Command Execution; File Modification; OS API Execution; Process Creation; Process Termination; Service Metadata; Windows Registry Key Modification,instrumented,qwen3.8-27b
P165,Industroyer2,T0806,Brute Force I/O,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P166,Industroyer2,T0881,Service Stop,True,False,T8497,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P167,Industroyer2,T0836,Modify Parameter,True,False,T8493,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P168,Industroyer2,T0888,Remote System Information Discovery,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P169,Industroyer2,T0802,Automated Collection,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P170,Industroyer2,T0801,Monitor Process State,True,False,T0883,False,False,0,True,False,fail,False,False,Logon Session Metadata; Network Traffic Content,instrumented,qwen3.8-27b
P171,WannaCry,T0866,Exploitation of Remote Services,True,False,T0810,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
